requisito_id,tipo,licenca,documento,modulo,topico,teste_aderencia,evidencia_esperada,peso,impacto
R.39,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,b) Fatores discriminados conforme Tabela 5,,
R.40,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,c) Ressalvas legais aplicáveis,,
R.41,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,d) Complementos necessários,,
R.42,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,a) Indicação se é ou não ampliação,,
R.43,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,b) Nº do processo anterior,,
R.44,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,c) Quantidade antes da ampliação,,
R.45,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,d) Quantidade após ampliação,,
R.46,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,a) Código DN 217,,
R.47,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,b) Descrição da atividade,,
R.48,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,c) Parâmetro/unidade,,
R.49,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,d) Quantidade e início,,
R.50,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,a) Nº do processo,,
R.51,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,b) Certificado,,
R.52,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,c) Objeto,,
R.53,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,d) Datas de concessão e validade,,
R.54,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,a) Indicação se há ou não remanescentes,,
R.55,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,b) Tipo(s) selecionado(s),,
R.56,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,c) Categoria(s) da formação vegetal,,
R.57,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,d) Especificações adicionais quando “outro”,,
R.58,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,a) Indicação de presença ou ausência,,
R.59,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,b) Tipo de corpo hídrico,,
R.60,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,c) Classificação adequada,,
R.61,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,d) Informações adicionais quando “outro”,,
R.62,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,a) Litologias predominantes,,
R.63,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,b) Unidade geomorfológica,,
R.64,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,"c) Relevo, geologia, solos e suscetibilidade",,
R.65,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,d) Relação com lavra e estruturas associadas,,
R.66,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,a) Indicação de existência,,
R.67,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,b) Descrição das feições,,
R.68,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,c) Indicação de intervenção,,
R.69,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,"d) Descrição da intervenção, se aplicável",,
R.70,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,a) Categoria de uso,,
R.71,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,b) Atividades presentes,,
R.72,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,c) Indicação de áreas sensíveis,,
R.73,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,d) Especificação quando “outro”,,
R.74,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,a) Área total e construída,,
R.75,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,b) Área de lavra e servidões,,
R.76,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,c) Área degradada e reabilitada,,
R.77,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,d) Percentual de recuperação,,
R.78,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,a) Produção,,
R.79,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,b) Administrativo,,
R.80,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,c) Total de funcionários,,
R.81,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,d) Informações coerentes,,
R.82,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,a) Turnos e horas por turno,,
R.83,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,b) Meses/ano e dias/semana,,
R.84,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,c) Atividades sazonais,,
R.85,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,d) Porcentagem de redução,,
R.86,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,a) Substâncias e rochas matriz,,
R.87,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,b) ROM e recuperação,,
R.88,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,c) Produção líquida,,
R.89,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,"d) Rejeito, estéril, vida útil e avanço de lavra",,
R.90,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,a) Forma de desmonte,,
R.91,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,b) Método de lavra,,
R.92,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,c) Beneficiamento,,
R.93,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,"d) Sistemas de drenagem, água e transporte",,
R.94,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,a) Tipo do equipamento,,
R.95,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,b) Quantidade,,
R.96,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,c) Capacidade máxima,,
R.97,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,d) Produção efetiva,,
R.98,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,a) Tipo e descrição,,
R.99,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,b) Consumo mensal,,
R.100,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,c) Acondicionamento,,
R.101,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,d) Armazenamento/destino,,
R.102,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,a) Tratamento de minerais,,
R.103,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,b) Pilha de estéril/rejeito,,
R.104,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,c) Estradas,,
R.105,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,d) Atividades acessórias,,
R.106,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,a) Finalidade,,
R.107,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,b) Consumo máximo e médio,,
R.108,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,c) Origem,,
R.109,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,d) Consumo total mensal,,
R.110,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,a) Intervenção em aquífero,,
R.111,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,b) Rebaixamento do nível da água,,
R.112,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,c) Vazão projetada,,
R.113,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,d) Destinação da água drenada,,
R.114,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,a) Identificação de processos erosivos,,
R.115,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,b) Descrição dos eventos,,
R.116,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,c) Medidas de mitigação,,
R.117,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,d) Ações preventivas,,
R.118,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,a) Tipos e fontes,,
R.119,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,b) Quantidade,,
R.120,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,c) Tratamento existente ou necessário,,
R.121,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,d) Destinos finais,,
R.122,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.5 – Emissões Atmosféricas,As emissões foram caracterizadas conforme TR?,a) Tipo de emissão,,
R.123,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.5 – Emissões Atmosféricas,As emissões foram caracterizadas conforme TR?,b) Fonte,,
R.124,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.5 – Emissões Atmosféricas,As emissões foram caracterizadas conforme TR?,c) Medidas de controle,,
R.125,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.5 – Emissões Atmosféricas,As emissões foram caracterizadas conforme TR?,d) Informações organizadas,,
R.126,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.6 – Resíduos Sólidos,Os resíduos foram listados e quantificados?,a) Identificação e classificação,,
R.127,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.6 – Resíduos Sólidos,Os resíduos foram listados e quantificados?,b) Quantidade gerada,,
R.128,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.6 – Resíduos Sólidos,Os resíduos foram listados e quantificados?,c) Forma de disposição,,
R.129,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.6 – Resíduos Sólidos,Os resíduos foram listados e quantificados?,d) Medidas de gestão adotadas,,
R.130,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.7 – Ruídos e Vibrações,O item contempla todas as informações?,a) Fontes,,
R.131,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.7 – Ruídos e Vibrações,O item contempla todas as informações?,b) Emissões,,
R.132,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.7 – Ruídos e Vibrações,O item contempla todas as informações?,c) Medidas de controle,,
R.133,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.7 – Ruídos e Vibrações,O item contempla todas as informações?,d) Necessidade ou não de plano sismográfico,,
R.134,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.8 – Qualidade Ambiental,O relatório apresenta informações de qualidade da água e subterrânea?,a) Pontos monitorados,,
R.135,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.8 – Qualidade Ambiental,O relatório apresenta informações de qualidade da água e subterrânea?,b) Parâmetros,,
